concert hall;floor;side;row;number;x;y
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;7;2;198;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;7;3;212;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;7;4;226;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;7;5;240;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;7;6;254;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;7;7;268;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;7;8;282;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;7;9;296;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;7;10;310;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;7;11;324;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;7;12;338;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;7;13;352;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;7;14;366;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;7;15;380;313

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;7;15;394;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;7;14;408;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;7;13;422;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;7;12;436;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;7;11;450;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;7;10;464;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;7;9;478;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;7;8;492;313
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;7;7;506;313
