concert hall;floor;side;row;number;x;y
Kodály Központ, Pécs;orchestra;right;XI;12;600;612
Kodály Központ, Pécs;orchestra;right;XI;13;587;615
Kodály Központ, Pécs;orchestra;right;XI;14;573;617

Kodály Központ, Pécs;orchestra;right;XII;1;761;604
Kodály Központ, Pécs;orchestra;right;XII;2;747;607
Kodály Központ, Pécs;orchestra;right;XII;3;733;609
Kodály Központ, Pécs;orchestra;right;XII;4;720;612
Kodály Központ, Pécs;orchestra;right;XII;5;706;615
Kodály Központ, Pécs;orchestra;right;XII;6;692;618
Kodály Központ, Pécs;orchestra;right;XII;7;678;621
Kodály Központ, Pécs;orchestra;right;XII;8;664;624
Kodály Központ, Pécs;orchestra;right;XII;9;650;626
Kodály Központ, Pécs;orchestra;right;XII;10;636;630
Kodály Központ, Pécs;orchestra;right;XII;11;622;632
Kodály Központ, Pécs;orchestra;right;XII;12;607;635
Kodály Központ, Pécs;orchestra;right;XII;13;594;637
Kodály Központ, Pécs;orchestra;right;XII;14;578;641

Kodály Központ, Pécs;orchestra;right;XIII;1;768;627
Kodály Központ, Pécs;orchestra;right;XIII;2;754;630
Kodály Központ, Pécs;orchestra;right;XIII;3;739;632
Kodály Központ, Pécs;orchestra;right;XIII;4;725;635
Kodály Központ, Pécs;orchestra;right;XIII;5;712;638
Kodály Központ, Pécs;orchestra;right;XIII;6;698;641
Kodály Központ, Pécs;orchestra;right;XIII;7;684;643
Kodály Központ, Pécs;orchestra;right;XIII;8;670;646
Kodály Központ, Pécs;orchestra;right;XIII;9;656;650
Kodály Központ, Pécs;orchestra;right;XIII;10;641;652
Kodály Központ, Pécs;orchestra;right;XIII;11;627;655
Kodály Központ, Pécs;orchestra;right;XIII;12;614;658
